Id,Year,textvar ,Researcher Name,Guide Name
1,2013,Library and information science blogs: a content analysis,"Gala, Bhakti","Shyama, Rajaram"
2,2013,Collection management of electronic information resources: an analytical study of selected university libraries in Andhra Pradesh,Dharani Agrapu,"Varalakshmi, R S R; Sasikala, C"
3,2013,Growth of research output in science and technology institutes in Assam and the role of libraries,"Goswami, Tarini Dev","Lahkar, Narendra"
4,2013,Bibliometrics and webometrics analysis of open access electronics journals of library and information science,"Dattatraya, Tukaram Satpute","Chavan, Subhash P"
5,2013,Automation in university libraries of Gujarat state An empirical study,"Sharma, Narendra Kumar","Trivedi, Mayank J."
6,2013,Studies on the information seeking users behaviour of few selective government public and private funded R D libraries information centres in Jharkhand,"Sahu, Anjani Kumar","Choudhury, B K"
7,2013,A study of information sources and services of architecture college libraries in Maharashtra,Balasaheb Bhagwat Aher,Subhash Pundlikrao Chavan
8,2013,Relevance of library and information science education in the Indian job market: A study  of Indian universities and corporate libraries,Baruah Bobby Goswami,"Hangsing, P"
9,2013,Use and applications of open source software in libraries,"Bhavsar, Sandeep Ashok","Deshmukh, Shamkant J"
10,2013,An investigation in to the impact of e resources in modern Library and Information Centers,"Velumani, KV","Chinnasamy, K"
11,2013,Information resources and their use in the engineering college libraries of Dakshina Kannada and Udupi districts - A study,"Lewis, Felcy","Mallaiah, T Y"
12,2013,Literature on Public Finance (1986-2010): a bibliometric analysis based on EBSCO database,Lalitha Bai,Dominic J
13,2013,Performance evaluation and social culturalcontribution of public libraries in south region Ahmednagar district (M.S.),"Ghule, Rajkumar Pandharinath","Dahifale, Vikram Uttamrao"
14,2013,Professional attitudes of librarians towards information and communication technology: a survey of engineering college libraries in north coastal Andhra Pradesh,Medepalli Venkatasubbarao,"Valasayya, G"
15,2013,A bibliometric study of indian journal of engineering and materials sciences 2008 to 2012,Rahul Ramrao Dhuldhule,Prashant P. Deshmukh
16,2013,Information seeking behaviour of users of management institute libraries in Pune,"Khandare, Dhanishtha","Dahibhate, N B"
17,2013,Use of library classification schemes in the ICT environment in selected libraries in national capital region : a study,"Gulati, Dipti","Singh, K P"
18,2014,Use of information resources and services of district central libraries and their branches in Karnataka state : a study,"Reddy, Shanker","N, Parvathamma"
19,2014,Design and development of children’s national science digital library for India,"Kumbar, Rashmi T","Patil, S K"
20,2014,Quality library services in the department of library and information science of universities of the Maharashtra state : a study,Manisha Sagar Dandgawhal,Daya Sridhar
21,2014,Recency pattern of citations an analytical study of citations of articles published in Library and Information Science,"Khan, Swapan","Bhattacharya, Udayan"
22,2014,Attitude of library professionals towards the use and acceptance of information technology in library activities: a study of academic college libraries under the jurisdiction of Mumbai university,Sagar Nathu Dandgawhal,Daya Sridhar
23,2014,An Investigation into Information Needs and Information Behaviour of Tourists and Design of a Tourist Information System for Kerala,Majeed H,Humayoon Kabir S
24,2014,Effectiveness of library and information services to the researchers of Visvesvaraya Technological University: a study,"Chandrashekara, J.","Adithya Kumari, H."
25,2014,Patterns of Information Resources Library Services and Information Seeking Behaviour of Users of Libraries and Information Centres of Academic and R and D Institutions Located at Delhi : A Study,"Singh, Payal","Vyas, S.D."
26,2014,An evaluative study of digital resources and services of agriculture university libraries of Uttarakhand and U.P.,Jagdambika Prasad,C. K. Sharma
27,2014,Impact of information communication technology on the administration and functioning of libraries affiliated to maduraikamaraj university area,"Virumandi, M","Chellappandi, P"
28,2014,Doctoral research in library and information science in India_ a critical study,"Ghatol, Swati Kusumakar","Pange, B M"
29,2014,Collection development policy and procedures inunder graduate college libraries affiliated to Karnataka universityDharwad : a study,Kotur Mrutyunjaya Basappa,Ningappa N.Arabagonda
30,2014,Networking of Law libraries with special reference to Law colleges affiliated to Karnataka state Law University Hubli,"Biradar, Dattappa B.","Kumbar, Mallinath"
31,2014,Evaluation of ICT Skills of Library and Information Professionals Working in the Engineering College Libraries in Karnataka State: A Study,Shivaputrappa F.Kattimani,Ramesh R. Naik
32,2014,Use of web information resources by researchers in the disciplines of biological sciences in Universities of Karnataka : a study,"Giddaiah, D.","Sarasvathy, P."
33,2014,Impact of E resources on collection development in Special Libraries in Karnataka,"Selvaraja, A.","Sarasvathy, P."
34,2014,Application of total quality management in management college libraries in Bangalore : a study,"David, Johnson","Adithya Kumari, H."
35,2014,Quality library services in the department of library and information science of universities of the maharashtrastate : a study,Manisha Sagar Dandgawhal,Daya Sridhar
36,2014,Attitude of library professionals towards the use and acceptance of information technology in library activities : a study of academic college libraries under the jurisdiction of mumbai university,Sagar Nathu Dandgawhal,Daya Sridhar
37,2014,Technical study of the dictionaries published in Sanskrit language since 1800 A D,"Karambelkar, Manjiri","Dahibhate, N B"
38,2014,Use of information resources and Services in libraries of horticultural Universities in India : a study,"Uplaonkar, Shilpa","Lalitha, K S"
39,2015,Use of online journals by the faculty members working at the medical institutions in Bangalore city : a study,"Rajanikanta, S T","Ramasesh, C P"
40,2015,Development of prototype model of centralized library system for Sinhgad Institutes Higher Education Libraries using open source software for enhancing library services,"Kulkarni, Shirish Sharad","Shewale, Nanaji"
41,2015,Role of oriental libraries in India with special reference to Deccan,"More, Trupti Dattatraya","Rajendra, Aparna"
42,2015,Staffing pattern for Digital libraries in comparison with the traditional staffing pattern,"Sonawane, Ajit S","Rath, Prabhash N"
